2011-08-21 14:17:32 Debug: Notice (8): Undefined variable: ah in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 17]
2011-08-21 14:23:24 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:23:32 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 14:26:22 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-21 15:01:32 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 110]
2011-08-21 15:01:32 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 111]
2011-08-21 15:01:32 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 110]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 111]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:02:31 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 110]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 111]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:04:14 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 111]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\models\question.php, line 112]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:05:42 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:20 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:12:20 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:20 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:20 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:20 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:24 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:12:24 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:24 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:24 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:12:24 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:02 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:13:02 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:02 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:02 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:02 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:24 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:13:24 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:24 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:24 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:13:24 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:14:37 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:14:37 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:14:37 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:14:37 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:14:37 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:01 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 15:15:01 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:01 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:01 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:01 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 15:15:50 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
